"","entry","module","genes","pathway","module_info","pathway_info"
"221","mmu:23917","mmu_M00050","Impdh1, B930086D20Rik, IMPDH-I","mmu00230, mmu00983","Guanine ribonucleotide biosynthesis IMP => GDP,GTP","Purine metabolism, Drug metabolism - other enzymes"
"222","mmu:23918","mmu_M00050","Impdh2, IMPD, IMPD_2, IMPDH-II","mmu00230, mmu00983","Guanine ribonucleotide biosynthesis IMP => GDP,GTP","Purine metabolism, Drug metabolism - other enzymes"
"223","mmu:229363","mmu_M00050","Gmps, 670032, AA591640, AI047208, Gm9479","mmu00230, mmu00983","Guanine ribonucleotide biosynthesis IMP => GDP,GTP","Purine metabolism, Drug metabolism - other enzymes"
"224","mmu:14923","mmu_M00050","Guk1, AA409738, AL033299, AL033300, AV026611, Gmk, Guk-1","mmu00230","Guanine ribonucleotide biosynthesis IMP => GDP,GTP","Purine metabolism"
"225","mmu:69719","mmu_M00051","Cad, 2410008J01Rik, AU018859, Cpad","mmu00240, mmu00250","Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP","Pyrimidine metabolism, Alanine, aspartate and glutamate metabolism"
"226","mmu:56749","mmu_M00051","Dhodh, 2810417D19Rik, AI834883","mmu00240","Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP","Pyrimidine metabolism"
"227","mmu:22247","mmu_M00051","Umps, 1700095D23Rik, AA408257, AL033308, BB164745","mmu00240, mmu00983","Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP","Pyrimidine metabolism, Drug metabolism - other enzymes"
"228","mmu:66588","mmu_M00052","Cmpk1, 0610011D08Rik, CK, Cmp, Cmpk, UMP-CMPk","mmu00240, mmu00983","Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP","Pyrimidine metabolism, Drug metabolism - other enzymes"
"229","mmu:22169","mmu_M00052","Cmpk2, 1200004E04Rik, TDK, TDKI, Tyk, Tyki","mmu00240","Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP","Pyrimidine metabolism"
"230","mmu:51797","mmu_M00052","Ctps, Ctps1","mmu00240","Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP","Pyrimidine metabolism"
"231","mmu:55936","mmu_M00052","Ctps2, A830031M15Rik, AI326475, CTP, Ctpsh","mmu00240","Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP","Pyrimidine metabolism"
"232","mmu:13478","mmu_M00055","Dpagt1, AU021132, Dpag, Dpagt2, G1PT, GP, GPT, Gn, Gnpta","mmu00510","N-glycan precursor biosynthesis","N-Glycan biosynthesis"
"233","mmu:320302","mmu_M00055","Glt28d2, 4732486J07Rik, Glt28d1l","mmu00510, mmu00513","N-glycan precursor biosynthesis","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"234","mmu:67574","mmu_M00055","Alg13, 2810046O15Rik, 4833435D08Rik, Glt28d, Glt28d1, MDS03, MDS031","mmu00510, mmu00513","N-glycan precursor biosynthesis","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"235","mmu:66789","mmu_M00055","Alg14, 5430428G01Rik, AI854024","mmu00510, mmu00513","N-glycan precursor biosynthesis","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"236","mmu:208211","mmu_M00055","Alg1, HMAT, HMAT1, HMT1","mmu00510, mmu00513","N-glycan precursor biosynthesis","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"237","mmu:56737","mmu_M00055","Alg2, 1110018A23Rik, 1300013N08Rik, AL, ALPG2, CDG, CDGIi, MNCb-5081","mmu00510, mmu00513","N-glycan precursor biosynthesis","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"238","mmu:207958","mmu_M00055","Alg11, AI849156, AW492253, B230397C21, Mmat-4(5)","mmu00510, mmu00513","N-glycan precursor biosynthesis","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"239","mmu:208624","mmu_M00055","Alg3, D16Ertd36, D16Ertd36e, not","mmu00510, mmu00513","N-glycan precursor biosynthesis","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"240","mmu:102580","mmu_M00055","Alg9, 8230402H15Rik, AI747665, B430313H07Rik, Dibd, Dibd1","mmu00510, mmu00513","N-glycan precursor biosynthesis","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"241","mmu:223774","mmu_M00055","Alg12, ECM39","mmu00510, mmu00513","N-glycan precursor biosynthesis","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"242","mmu:66248","mmu_M00055","Alg5, 1500026A19Rik, 2600005J22Rik, AV009521, AV170001, AW545564","mmu00510","N-glycan precursor biosynthesis","N-Glycan biosynthesis"
"243","mmu:320438","mmu_M00055","Alg6, E230028F23Rik","mmu00510","N-glycan precursor biosynthesis","N-Glycan biosynthesis"
"244","mmu:381903","mmu_M00055","Alg8, AI447372, Gm1089","mmu00510","N-glycan precursor biosynthesis","N-Glycan biosynthesis"
"245","mmu:380959","mmu_M00055","Alg10b, AA469671, AU045404, AW123895, C85569, Deaf, Deaf1, Gm917, ns, nse5","mmu00510","N-glycan precursor biosynthesis","N-Glycan biosynthesis"
"246","mmu:14423","mmu_M00056","Galnt1","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"247","mmu:171212","mmu_M00056","Galnt10, AU018154, C330012K04Rik, Gal, GalNAc, GalNAc-T10, GalNAc-T9, Galnt9, ppGaNTase","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"248","mmu:108760","mmu_M00056","Galnt16, 5730405L21Rik, AI415388, Gal, Galntl1, galNAc-T16, mpp-GalNAc-T16","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"249","mmu:207839","mmu_M00056","Galnt6, 4632410F13, AW047994, GalNA, GalNAc-T6","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"250","mmu:108150","mmu_M00056","Galnt7, AI225872","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"251","mmu:241391","mmu_M00056","Galnt5, 4832424J23","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"252","mmu:212996","mmu_M00056","Galnt17, AA388321, E330012B09Rik, Galn, Galnt19, Gca, Gcap8, Wbscr, Wbscr17","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"253","mmu:230145","mmu_M00056","Galnt12, 9130206E10, A630062B03Rik, galNAc-T12, mpp-GalNAc-T12, pp-GaNTase","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"254","mmu:271786","mmu_M00056","Galnt13, A230002A12, A230020F20, BB182356","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"255","mmu:108148","mmu_M00056","Galnt2, AI480629","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"256","mmu:14426","mmu_M00056","Galnt4, AV011803","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"257","mmu:233733","mmu_M00056","Galnt18, 2900011G21Rik, BC024988, Gal, Galntl4, galNAc-T18, mpp-GalNAc-T18(O18)","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"258","mmu:71685","mmu_M00056","Galnt14, 0610033M06Rik","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"259","mmu:67909","mmu_M00056","Galntl5, 1700021B12Rik, Galnt15","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"260","mmu:14425","mmu_M00056","Galnt3","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"261","mmu:231050","mmu_M00056","Galnt11, A430075I06Rik, AI648252, E430002F06Rik","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"262","mmu:78754","mmu_M00056","Galnt15, 4631401E18Rik, Gal, Galntl2, mpp-GalNAc-T15","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"263","mmu:270049","mmu_M00056","Galntl6, 1700021K10Rik, 4930431L04Rik, A830023L05","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"264","mmu:94192","mmu_M00056","C1galt1, 2210410E06Rik, AV284120, T-synt, T-synthase","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"265","mmu:59048","mmu_M00056","C1galt1c1, 1500002I11Rik, AB030184, C1GalT2, C81205, Cos, Cosmc","mmu00512, mmu00514","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis, Other types of O-glycan biosynthesis"
"266","mmu:14537","mmu_M00056","Gcnt1, 5630400D21Rik, B130048E03, C2_GlcNAcT, C2GNT, IG, IGnT","mmu00512","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis"
"267","mmu:72077","mmu_M00056","Gcnt3, 2010013H22Rik, 2210021I22Rik, 2210401J11Rik","mmu00512","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis"
"268","mmu:218476","mmu_M00056","Gcnt4, C2GNT, C2gnt3, Gm279, Gm73","mmu00512","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis"
"269","mmu:272411","mmu_M00056","B3gnt6, BC039789, Cor, Core, Core-3, Core3","mmu00512","O-glycan biosynthesis, mucin type core","Mucin type O-glycan biosynthesis"
"270","mmu:233781","mmu_M00057","Xylt1, 8030490L12","mmu00532, mmu00534","Glycosaminoglycan biosynthesis, linkage tetrasaccharide","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate, Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"271","mmu:217119","mmu_M00057","Xylt2, E030002B02Rik, XT-II, XT2, xylT-II","mmu00532, mmu00534","Glycosaminoglycan biosynthesis, linkage tetrasaccharide","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate, Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"272","mmu:218271","mmu_M00057","B4galt7, XGPT, XGalT-1","mmu00532, mmu00534","Glycosaminoglycan biosynthesis, linkage tetrasaccharide","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate, Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"273","mmu:117592","mmu_M00057","B3galt6, BB129894, Ga, GalTII","mmu00532, mmu00534","Glycosaminoglycan biosynthesis, linkage tetrasaccharide","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate, Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"274","mmu:72727","mmu_M00057","B3gat3, 2810405M13Rik, GlcA","mmu00532, mmu00534","Glycosaminoglycan biosynthesis, linkage tetrasaccharide","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate, Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"275","mmu:78752","mmu_M00058","Csgalnact2, 4632415D10Rik, Galn, Galnact2","mmu00532","Glycosaminoglycan biosynthesis, chondroitin sulfate backbone","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"276","mmu:234356","mmu_M00058","Csgalnact1, 4732435N03Rik, CSGalN, CSGalNAcT-1","mmu00532","Glycosaminoglycan biosynthesis, chondroitin sulfate backbone","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"277","mmu:269941","mmu_M00058","Chsy1","mmu00532","Glycosaminoglycan biosynthesis, chondroitin sulfate backbone","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"278","mmu:78923","mmu_M00058","Chsy3, 4833446K15Rik, AI662215","mmu00532","Glycosaminoglycan biosynthesis, chondroitin sulfate backbone","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"279","mmu:74241","mmu_M00058","Chpf, 1700028N03Rik, AI414328, D1Bwg1363e","mmu00532","Glycosaminoglycan biosynthesis, chondroitin sulfate backbone","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"280","mmu:100910","mmu_M00058","Chpf2, 2010209O12Rik, AW060945, Gm42230, mKIAA1402, mir-671","mmu00532","Glycosaminoglycan biosynthesis, chondroitin sulfate backbone","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"281","mmu:58193","mmu_M00059","Extl2, 3000001D04Rik, AW146439","mmu00534","Glycosaminoglycan biosynthesis, heparan sulfate backbone","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"282","mmu:54616","mmu_M00059","Extl3, 2900009G18Rik, AU040105, Ext1l, mKIAA0519","mmu00534","Glycosaminoglycan biosynthesis, heparan sulfate backbone","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"283","mmu:14042","mmu_M00059","Ext1, AA409028","mmu00534","Glycosaminoglycan biosynthesis, heparan sulfate backbone","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"284","mmu:14043","mmu_M00059","Ext2, AI893565","mmu00534","Glycosaminoglycan biosynthesis, heparan sulfate backbone","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"285","mmu:56219","mmu_M00059","Extl1, D430033M16Rik","mmu00534","Glycosaminoglycan biosynthesis, heparan sulfate backbone","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"286","mmu:15531","mmu_M00059","Ndst1, 1200015G06Rik, HSNST, HSNST_1, Hs, Hsst, N-HSST, N-HSST_1, NDST-1, Ndst, b2b2230C, b2b2230Clo","mmu00534","Glycosaminoglycan biosynthesis, heparan sulfate backbone","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"287","mmu:17423","mmu_M00059","Ndst2, Mn, Mndns, NDST-2","mmu00534","Glycosaminoglycan biosynthesis, heparan sulfate backbone","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"288","mmu:83398","mmu_M00059","Ndst3, 4921531K01Rik, 4930511P15Rik, N-HSST_3, NDST-3","mmu00534","Glycosaminoglycan biosynthesis, heparan sulfate backbone","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"289","mmu:64580","mmu_M00059","Ndst4, 4930439H17Rik","mmu00534","Glycosaminoglycan biosynthesis, heparan sulfate backbone","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"290","mmu:93683","mmu_M00059","Glce, 1110017N23Rik, AI747411, C130034A12Rik, Hs, Hsepi","mmu00534","Glycosaminoglycan biosynthesis, heparan sulfate backbone","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"291","mmu:18700","mmu_M00065","Piga, AI194334, Pi, Pig-a","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"292","mmu:67292","mmu_M00065","Pigc, 3110030E07Rik, AW212108","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"293","mmu:110417","mmu_M00065","Pigh, 2210416H01Rik, A930028P05Rik","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"294","mmu:56176","mmu_M00065","Pigp, Dcr, Dcrc, Dsc, Dscr5","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"295","mmu:14755","mmu_M00065","Pigq, Gp, Gpi, Gpi1, Gpi1h, Gpi1p, Gpih","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"296","mmu:66268","mmu_M00065","Pigyl, 1810008A14Rik, PIG-Y, Pigy","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"297","mmu:13481","mmu_M00065","Dpm2, AW557993, R75484","mmu00510, mmu00563","GPI-anchor biosynthesis, core oligosaccharide","N-Glycan biosynthesis, Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"298","mmu:327942","mmu_M00065","Pigl, Gm737","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"299","mmu:70325","mmu_M00065","Pigw, 2610044A17Rik, Gwt1, PIG-W","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"300","mmu:67556","mmu_M00065","Pigm, 4933437L05Rik, AI644422, AV302080, C920011G20Rik","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"301","mmu:72084","mmu_M00065","Pigx, 2010319C14Rik, PIG-X","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"302","mmu:230801","mmu_M00065","Pigv, B330013B03, D430024F16Rik","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"303","mmu:27392","mmu_M00065","Pign, Gm20308, PIG-N","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"304","mmu:55981","mmu_M00065","Pigb, Pig-b","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"305","mmu:56703","mmu_M00065","Pigo, PIG-O","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"306","mmu:18701","mmu_M00065","Pigf","mmu00563","GPI-anchor biosynthesis, core oligosaccharide","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"307","mmu:22234","mmu_M00066","Ugcg, AU043821, C80537, Epcs, Epcs21, GlcT-, GlcT-1, Ugcgl","mmu00600","Lactosylceramide biosynthesis","Sphingolipid metabolism"
"308","mmu:56386","mmu_M00066","B4galt6, AA536803, AU022389","mmu00600","Lactosylceramide biosynthesis","Sphingolipid metabolism"
"309","mmu:22239","mmu_M00067","Ugt8a, AI850488, AW455908, Cgt, Ugt8, mCerG, mCerGT","mmu00565, mmu00600","Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid","Ether lipid metabolism, Sphingolipid metabolism"
"310","mmu:53897","mmu_M00067","Gal3st1, Cs, Cst, Gcs, Gcst","mmu00565, mmu00600","Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid","Ether lipid metabolism, Sphingolipid metabolism"
"311","mmu:239559","mmu_M00068","A4galt","mmu00601, mmu00603","Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer","Glycosphingolipid biosynthesis - lacto and neolacto series, Glycosphingolipid biosynthesis - globo and isoglobo series"
"312","mmu:26879","mmu_M00068","B3galnt1, B3gal, B3galt3, b3GT3","mmu00601, mmu00603","Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer","Glycosphingolipid biosynthesis - lacto and neolacto series, Glycosphingolipid biosynthesis - globo and isoglobo series"
"313","mmu:20454","mmu_M00069","St3gal5, 3S-, 3S-T, Si, Siat9, [a], [a]2","mmu00604","Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3","Glycosphingolipid biosynthesis - ganglio series"
"314","mmu:20449","mmu_M00069","St8sia1, 9330109E03Rik, GD3, GD3S, Si, Sia-T, Siat8, Siat8a","mmu00601, mmu00603, mmu00604","Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3","Glycosphingolipid biosynthesis - lacto and neolacto series, Glycosphingolipid biosynthesis - globo and isoglobo series, Glycosphingolipid biosynthesis - ganglio series"
"315","mmu:225742","mmu_M00069","St8sia5, ST, ST8SiaV, Sia, Siat8e","mmu00604","Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3","Glycosphingolipid biosynthesis - ganglio series"
"316","mmu:108105","mmu_M00070, mmu_M00071","B3gnt5, beta3GnT5","mmu00601","Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer, Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer","Glycosphingolipid biosynthesis - lacto and neolacto series"
"317","mmu:102637973","mmu_M00070, mmu_M00071","Gm34653","mmu00601","Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer, Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer","Glycosphingolipid biosynthesis - lacto and neolacto series"
"318","mmu:26877","mmu_M00070","B3galt1, beta3Gal-T1","mmu00601","Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer","Glycosphingolipid biosynthesis - lacto and neolacto series"
"319","mmu:26878","mmu_M00070","B3galt2","mmu00601","Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer","Glycosphingolipid biosynthesis - lacto and neolacto series"
"320","mmu:93961","mmu_M00070","B3galt5, 1190002B21Rik, AU045265, b3Gal, b3Galt-V","mmu00601, mmu00603","Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer","Glycosphingolipid biosynthesis - lacto and neolacto series, Glycosphingolipid biosynthesis - globo and isoglobo series"
"321","mmu:14595","mmu_M00071, mmu_M00075","B4galt1, B-1,4-GalT, B-1,4-GalT1, Ga, GalT, Ggtb, Ggtb2, b4Gal-T1, beta-1,4-GalT, beta-1,4-GalT1, beta4Gal-T1","mmu00052, mmu00510, mmu00513, mmu00514, mmu00515, mmu00533, mmu00601","Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer, N-glycan biosynthesis, complex type","Galactose metabolism, N-Glycan biosynthesis, Various types of N-glycan biosynthesis, Other types of O-glycan biosynthesis, Mannose type O-glycan biosynthesis, Glycosaminoglycan biosynthesis - keratan sulfate, Glycosphingolipid biosynthesis - lacto and neolacto series"
"322","mmu:53418","mmu_M00071, mmu_M00075","B4galt2, Ggtb2","mmu00052, mmu00510, mmu00513, mmu00514, mmu00515, mmu00533, mmu00601","Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer, N-glycan biosynthesis, complex type","Galactose metabolism, N-Glycan biosynthesis, Various types of N-glycan biosynthesis, Other types of O-glycan biosynthesis, Mannose type O-glycan biosynthesis, Glycosaminoglycan biosynthesis - keratan sulfate, Glycosphingolipid biosynthesis - lacto and neolacto series"
"323","mmu:57370","mmu_M00071, mmu_M00075","B4galt3, 9530061M23Rik, AA104562, AW125175, ESTM2, ESTM26, ESTM6, R7498, R74981","mmu00510, mmu00513, mmu00514, mmu00515, mmu00533, mmu00601","Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer, N-glycan biosynthesis, complex type","N-Glycan biosynthesis, Various types of N-glycan biosynthesis, Other types of O-glycan biosynthesis, Mannose type O-glycan biosynthesis, Glycosaminoglycan biosynthesis - keratan sulfate, Glycosphingolipid biosynthesis - lacto and neolacto series"
"324","mmu:56375","mmu_M00071","B4galt4, 9130402O08Rik, B4galt-IV, b4Gal-T4, beta4Gal-T4, beta4GalT-IV","mmu00533, mmu00601","Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer","Glycosaminoglycan biosynthesis - keratan sulfate, Glycosphingolipid biosynthesis - lacto and neolacto series"
"325","mmu:16430","mmu_M00072","Stt3a, AA408947, B5, BB081708, Itm, Itm1","mmu00510, mmu00513","N-glycosylation by oligosaccharyltransferase","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"326","mmu:68292","mmu_M00072","Stt3b, 1300006C19Rik, S, Simp","mmu00510, mmu00513","N-glycosylation by oligosaccharyltransferase","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"327","mmu:103963","mmu_M00072","Rpn1, AU018702, D6Wsu137, D6Wsu137e, Rp, Rpn-1","mmu00510, mmu00513","N-glycosylation by oligosaccharyltransferase","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"328","mmu:20014","mmu_M00072","Rpn2, 1300012C06Rik, AV261018, Rp, Rpn-2","mmu00510, mmu00513","N-glycosylation by oligosaccharyltransferase","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"329","mmu:13135","mmu_M00072","Dad1, AI323713","mmu00510, mmu00513","N-glycosylation by oligosaccharyltransferase","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"330","mmu:80286","mmu_M00072","Tusc3, AU022242, BC003311, N33","mmu00510, mmu00513","N-glycosylation by oligosaccharyltransferase","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"331","mmu:13200","mmu_M00072","Ddost","mmu00510, mmu00513","N-glycosylation by oligosaccharyltransferase","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"332","mmu:57377","mmu_M00073","Mogs, 1810017N02Rik, AI181835, Gcs, Gcs1","mmu00510","N-glycan precursor trimming","N-Glycan biosynthesis"
"333","mmu:14376","mmu_M00073","Ganab, AU042638, G2, G2an, Gl, GluII, mKIAA0088","mmu00510","N-glycan precursor trimming","N-Glycan biosynthesis"
"334","mmu:227619","mmu_M00073","Man1b1, E430019H13Rik, ERMan1, Gm108, MAN, MANA-ER","mmu00510, mmu00513","N-glycan precursor trimming","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"335","mmu:17155","mmu_M00073","Man1a, Man1a1, PC, PCR1","mmu00510, mmu00513","N-glycan precursor trimming","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"336","mmu:17156","mmu_M00073","Man1a2, AI428775, AI528764, AI854422, Man, Man1b, PCR2","mmu00510, mmu00513","N-glycan precursor trimming","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"337","mmu:230815","mmu_M00073","Man1c1, AI593348","mmu00510, mmu00513","N-glycan precursor trimming","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"338","mmu:17158","mmu_M00075","Man2a1, Ma, Man, Mana-2, Mana2, Map, Map-2","mmu00510, mmu00513","N-glycan biosynthesis, complex type","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"339","mmu:140481","mmu_M00075","Man2a2, 1700052O22Rik, 4931438M07Rik, AI480988, MX, Man_IIx","mmu00510, mmu00513","N-glycan biosynthesis, complex type","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"340","mmu:217664","mmu_M00075","Mgat2, AA407964, CDGS, CDGS2, GLCNACTII, GNT, GNT-II, GNT2","mmu00510, mmu00513","N-glycan biosynthesis, complex type","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
"341","mmu:17309","mmu_M00075","Mgat3, 1110038J12Rik, AI848272, GnT, GnT-III","mmu00510","N-glycan biosynthesis, complex type","N-Glycan biosynthesis"
"342","mmu:103534","mmu_M00075","Mgat4b, AA407995, GnTIVb","mmu00510, mmu00513","N-glycan biosynthesis, complex type","N-Glycan biosynthesis, Various types of N-glycan biosynthesis"
